time,value
0.0,0.009934283060224654
5e-05,0.0012585032303008697
0.0001,0.020980861635577962
0.00015,0.04245012711835844
0.0002,0.011207889147306319
0.00025,0.015028817537929565
0.0003,0.05501621711658332
0.00035,0.0423820457856413
0.0004,0.021108077339404077
0.00045,0.044658395405978435
0.0005,0.02767732869052797
0.00055,0.030582818790262766
0.0006,0.04748704643004672
0.00065,0.006917759575978219
0.0007,0.012993450254572492
0.00075,0.038316330086178366
0.0008,0.03112782618219615
0.00085,0.05923548408620594
0.0009,0.03609290240634691
0.00095,0.02704139885923634
0.001,0.08536174293302777
0.00105,0.05201920556195722
0.0011,0.05809490691747465
0.00115,0.02818313516411195
0.0012,0.04545035961995994
0.00125,0.05794606011027462
0.0013,0.0318320156790831
0.00135,0.06123127505369665
0.0014,0.04031900304230601
0.00145,0.04487066348952996
0.0015,0.036812059566204404
0.00155,0.08381416151751195
0.0016,0.04421487630366208
0.00165,0.020854837460590366
0.0017,0.05580744972549842
0.00175,0.012126650440805829
0.0018,0.03776433892289628
0.00185,-0.008688340752162904
0.0019,0.0007523517017742724
0.00195,0.027976472848613182
0.002,0.035463545301680666
0.00205,0.020728329644855648
0.0021,0.011566786676648549
0.00215,0.00442890471393663
0.0022,-0.02253536272543082
0.00225,-0.010744480997803948
0.0023,-0.008889654119994681
0.00235,0.01820953800041261
0.0024,0.0007761354305691774
0.00245,-0.04440872284144979
0.0025,-0.005587988769225616
0.00255,-0.02254553982848054
0.0026,-0.030992278686747962
0.00265,-0.0076501312413316
0.0027,-0.0014985164962411993
0.00275,-0.005519028014789807
0.0028,-0.04273377999366411
0.00285,-0.03370578385270602
0.0029,-0.022225606844738725
0.00295,-0.010417817417878672
0.003,-0.0403312242039581
0.00305,-0.035015220308982554
0.0031,-0.05371390010331639
0.00315,-0.055524422518063526
0.0032,-0.015089374280611547
0.00325,-0.0036813024735054545
0.0033,-0.03144074798840854
0.00335,-0.008855688324450977
0.0034,-0.020355405084340333
0.00345,-0.03889436593754756
0.0035,-0.016917490928902434
0.00355,0.00870339591400835
0.0036,-0.020454545277449544
0.00365,0.014093859452114634
0.0037,-0.06684797174965647
0.00375,0.004923937724317765
0.0038,-0.006656196745232815
0.00385,-0.011098284236220935
0.0039,0.00014120956483564635
0.00395,-0.03789383178296094
0.004,0.0011246578693778833
0.00405,0.01641085428594699
0.0041,0.04264740144124213
0.00415,0.006595495203958985
0.0042,0.004692627119922781
0.00425,0.014738757603001952
0.0043,0.04698265123066939
0.00435,0.039119209144240025
0.0044,0.025767142931339738
0.00445,0.05037442147798949
0.0045,0.045706278838922074
0.00455,0.06668306324779627
0.0046,0.036685762321762135
0.00465,0.04744360732986927
0.0047,0.04926101253692347
0.00475,0.03075932305755889
0.0048,0.06868339379362719
0.00485,0.07050423909303584
0.0049,0.06768532518091397
0.00495,0.06495722068366384
0.005,0.04316292360083208
0.00505,0.06462509061435047
0.0051,0.06748984805991962
0.00515,0.059336842496526376
0.0052,0.07292211815834676
0.00525,0.084718064281037
0.0053,0.11457183255232331
0.00535,0.08027219083872919
0.0054,0.08158673493531216
0.00545,0.07432710716162384
0.0055,0.03655023759740195
0.00555,0.07323996720485856
0.0056,0.07356143148577828
0.00565,0.11995871135530542
0.0057,0.06494396975035412
0.00575,0.07269085802072932
0.0058,0.06361816795405877
0.00585,0.038388648213841525
0.0059,0.08188042852432809
0.00595,0.07115201802006157
0.006,0.0688676011073828
0.00605,0.03165447736521515
0.0061,0.07457322211258056
0.00615,0.01505410035422479
0.0062,0.05132009825999303
0.00625,0.07982176027820587
0.0063,0.012589602308203236
0.00635,0.017440392480736262
0.0064,0.027124179642574724
0.00645,0.011445670788997641
0.0065,-0.01307451096412044
0.00655,0.01579321387842148
0.0066,-0.010261565599538575
0.00665,0.017117548884183976
0.0067,-0.013964236995689498
0.00675,0.032336893095070825
0.0068,-0.0172602036066627
0.00685,-0.010800580215413608
0.0069,0.009331393651851962
0.00695,-0.03393678115030324
0.007,-0.006938453242222179
0.00705,0.012711574857614465
0.0071,-0.04728915807768226
